Filename                           Electrostatics        Exchange      Dispersion    Polarization  ChargeTransfer     ALMO/TZVPPD
004_ethanol_dimer_05                   -10.576793       12.114842       -3.925717       -1.854469       -2.264938       -6.507075
004_ethanol_dimer_06                   -10.214388       11.824498       -4.164508       -1.855473       -2.133772       -6.543642
004_ethanol_dimer_07                   -10.230115       12.301195       -4.501291       -1.877175       -2.224140       -6.531549
004_ethanol_dimer_08                    -9.918045       11.182385       -3.530210       -1.724904       -2.160707       -6.151482
004_ethanol_dimer_09                   -10.869312       12.615989       -4.019527       -1.839436       -2.324785       -6.437070
004_ethanol_dimer_10                   -10.061209       11.980306       -4.066300       -1.795770       -2.362954       -6.305951
004_ethanol_dimer_11                    -9.990918       11.655975       -3.855497       -1.799928       -2.172419       -6.162739
004_ethanol_dimer_12                    -9.529637       10.875669       -3.457075       -1.690583       -2.095602       -5.897228
004_ethanol_dimer_13                    -9.799450       11.395292       -3.935899       -1.751554       -2.087309       -6.178920
004_ethanol_dimer_14                    -9.713815       11.168762       -3.897586       -1.791969       -1.968786       -6.203370
004_ethanol_dimer_15                   -10.010445       11.998351       -4.267734       -1.838695       -2.096104       -6.214627
004_ethanol_dimer_16                   -10.034751       11.726506       -3.988623       -1.778681       -2.075287       -6.150860
004_ethanol_dimer_17                    -9.278561       11.036663       -4.184202       -1.752581       -2.021797       -6.200502
004_ethanol_dimer_18                   -10.338289       12.192041       -4.078513       -1.775980       -2.175430       -6.176195
004_ethanol_dimer_19                    -9.276625       10.647490       -3.581238       -1.635277       -2.094431       -5.940081
004_ethanol_dimer_20                    -8.806286        9.572801       -3.220985       -1.655354       -1.829900       -5.939723
004_ethanol_dimer_21                    -9.203466       10.628561       -3.701147       -1.704876       -2.029947       -6.010875
004_ethanol_dimer_22                    -9.103728       10.652008       -3.745459       -1.695339       -1.944718       -5.837261
004_ethanol_dimer_23                    -9.446869       11.345363       -4.264866       -1.733700       -2.083317       -6.183389
004_ethanol_dimer_24                   -10.538289       12.706907       -4.466993       -1.868834       -2.307935       -6.475143
004_ethanol_dimer_25                    -9.452533       11.768977       -3.961496       -1.768786       -2.193212       -5.607051
004_ethanol_dimer_26                    -3.913647        5.832075       -3.852844       -0.600908       -0.633222       -3.168571
004_ethanol_dimer_27                    -3.966276        5.822634       -3.700765       -0.603872       -0.707433       -3.155712
004_ethanol_dimer_28                    -3.099355        5.448327       -3.809393       -0.522323       -0.669527       -2.652271
004_ethanol_dimer_29                    -4.168380        6.725837       -3.840081       -0.651434       -0.862787       -2.796869
004_ethanol_dimer_30                    -3.745363        6.065464       -3.684871       -0.578633       -0.769216       -2.712596
004_ethanol_dimer_31                    -3.603944        6.070196       -3.754326       -0.522228       -0.757242       -2.567543
004_ethanol_dimer_32                    -3.805641        6.061329       -3.575621       -0.571295       -0.721678       -2.612906
004_ethanol_dimer_33                    -3.603250        6.080760       -3.755306       -0.586711       -0.719957       -2.584465
004_ethanol_dimer_34                    -3.406358        5.985588       -3.735707       -0.513074       -0.760349       -2.429900
004_ethanol_dimer_35                    -2.952701        5.683293       -3.599235       -0.689006       -0.860134       -2.417782
004_ethanol_dimer_36                    -2.509608        4.109011       -2.939818       -0.407194       -0.468619       -2.216228
004_ethanol_dimer_37                    -2.452701        4.196511       -3.117089       -0.367041       -0.466348       -2.206668
004_ethanol_dimer_38                    -2.327892        3.864149       -2.892400       -0.379159       -0.436018       -2.171343
004_ethanol_dimer_39                    -2.381812        3.689866       -2.596702       -0.355354       -0.398184       -2.042161
004_ethanol_dimer_40                    -2.479207        4.531549       -3.218021       -0.330306       -0.553920       -2.049904
004_ethanol_dimer_41                    -2.302725        3.984584       -2.952318       -0.352414       -0.457170       -2.080067
004_ethanol_dimer_42                    -2.211544        3.824809       -2.884512       -0.354350       -0.424928       -2.050502
004_ethanol_dimer_43                    -2.466969        4.445196       -3.199283       -0.365105       -0.515153       -2.101315
004_ethanol_dimer_44                    -2.533341        4.425980       -3.101052       -0.414938       -0.516730       -2.140081
004_ethanol_dimer_45                    -2.404207        4.193547       -2.998566       -0.376434       -0.500669       -2.086353
004_ethanol_dimer_46                    -2.220292        3.933987       -2.920124       -0.371391       -0.456812       -2.034608
004_ethanol_dimer_47                    -2.348542        4.426769       -3.117734       -0.370339       -0.542615       -1.952486
004_ethanol_dimer_48                    -2.623255        4.889747       -3.331238       -0.418403       -0.611879       -2.095053
004_ethanol_dimer_49                    -2.352223        4.271558       -3.107648       -0.344001       -0.463289       -1.995602
004_ethanol_dimer_50                    -2.334584        4.378418       -3.156644       -0.361568       -0.497012       -1.971391
004_ethanol_dimer_51                    -2.329469        3.920841       -2.760062       -0.344527       -0.405569       -1.918810
004_ethanol_dimer_52                    -2.179589        4.148590       -3.039938       -0.357290       -0.460564       -1.888791
004_ethanol_dimer_53                    -2.010492        3.985779       -3.069885       -0.337213       -0.464460       -1.896248
004_ethanol_dimer_54                    -1.783222        2.557792       -2.015989       -0.279541       -0.281907       -1.802868
004_ethanol_dimer_55                    -2.322275        4.673184       -3.345770       -0.312978       -0.574235       -1.882051
004_ethanol_dimer_56                    -2.050478        4.084465       -3.051673       -0.325096       -0.487237       -1.830019
004_ethanol_dimer_57                    -2.104350        4.045865       -2.997586       -0.328752       -0.465201       -1.850024
004_ethanol_dimer_58                    -2.040966        4.258198       -3.232815       -0.313456       -0.515057       -1.844073
004_ethanol_dimer_59                    -2.302510        4.080234       -2.691826       -0.308748       -0.523423       -1.746272
004_ethanol_dimer_60                    -2.268117        4.502055       -3.175526       -0.325741       -0.562811       -1.830139
004_ethanol_dimer_61                    -1.956668        3.617304       -2.734202       -0.317424       -0.377749       -1.768738
004_ethanol_dimer_62                    -2.448446        4.843834       -3.303920       -0.402103       -0.596248       -1.906883
004_ethanol_dimer_63                    -2.011329        3.324641       -2.313838       -0.317232       -0.377486       -1.695268
004_ethanol_dimer_64                    -2.012237        4.967256       -3.619312       -0.528920       -0.780593       -1.973781
004_ethanol_dimer_65                    -2.309082        4.317304       -3.022156       -0.352175       -0.464077       -1.830186
004_ethanol_dimer_66                    -2.046056        4.340129       -3.097682       -0.345483       -0.533509       -1.682600
004_ethanol_dimer_67                    -1.504039        1.813193       -1.478155       -0.255019       -0.214866       -1.638910
004_ethanol_dimer_68                    -2.113743        3.583437       -2.323638       -0.257409       -0.450502       -1.561879
004_ethanol_dimer_69                    -1.840511        2.698351       -1.785158       -0.289077       -0.306142       -1.522562
004_ethanol_dimer_70                    -1.363217        3.725908       -3.024020       -0.346367       -0.517782       -1.525478
004_ethanol_dimer_71                    -1.487643        4.713934       -3.521750       -0.539077       -0.721439       -1.555975
004_ethanol_dimer_72                    -0.830354        1.884895       -1.758915       -0.090153       -0.204924       -0.999426
004_ethanol_dimer_73                    -1.105760        3.183317       -2.620507       -0.194694       -0.376554       -1.114197
004_ethanol_dimer_74                    -0.821965        3.286568       -2.820937       -0.257242       -0.441348       -1.054924
004_ethanol_dimer_75                    -0.722586        2.245937       -2.029183       -0.138838       -0.277055       -0.921702
004_ethanol_dimer_76                    -0.508485        1.568738       -1.633580       -0.077701       -0.167830       -0.818834
004_ethanol_dimer_77                    -0.585229        1.760803       -1.642973       -0.088599       -0.217065       -0.773040
